title,price_gbp,price_inr,rating,in_stock,category
"Red Hood/Arsenal, Vol. 1: Open for Business",25.48,2688.14,2,True,Sequential Art
"Naruto , Vol. 14: Includes Vols. 40, 41 & 42",38.39,4050.14,2,True,Sequential Art
Lowriders to the Center of the Earth,51.51,5434.3,2,True,Sequential Art
El Deafo,57.62,6078.91,5,True,Sequential Art
Batman: Europa,32.01,3377.06,2,True,Sequential Art
Art Ops Vol. 1,48.8,5148.4,3,True,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,True,Sequential Art
"Fruits Basket, Vol. 9",33.95,3581.73,4,True,Sequential Art
Roller Girl,14.1,1487.55,5,True,Sequential Art
"Fruits Basket, Vol. 7",19.57,2064.64,1,True,Sequential Art
"Fruits Basket, Vol. 6",20.96,2211.28,4,True,Sequential Art
"Death Note, Vol. 6: Give-and-Take",36.39,3839.14,3,True,Sequential Art
"Fruits Basket, Vol. 5",16.33,1722.81,1,True,Sequential Art
"Death Note, Vol. 5: Whiteout",52.41,5529.25,1,True,Sequential Art
"The Demon Prince of Momochi House, Vol. 4",27.88,2941.34,2,True,Sequential Art
"Fruits Basket, Vol. 4",50.44,5321.42,4,True,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide",14.41,1520.26,3,True,Sequential Art
"The Sandman, Vol. 3: Dream Country",55.55,5860.52,5,True,Sequential Art
"Saga, Volume 3",21.57,2275.64,5,True,Sequential Art
Prodigy: The Graphic Novel,43.63,4602.96,3,True,Sequential Art
Persepolis: The Story of a Childhood,39.13,4128.22,1,True,Sequential Art
Original Fake,31.45,3317.98,3,True,Sequential Art
"Grayson, Vol 3: Nemesis",42.72,4506.96,1,True,Sequential Art
"Fruits Basket, Vol. 3",45.17,4765.44,2,True,Sequential Art
"Black Butler, Vol. 1",49.31,5202.2,1,True,Sequential Art
Awkward,38.02,4011.11,2,True,Sequential Art
"The Sandman, Vol. 2: The Doll's House",54.81,5782.46,1,True,Sequential Art
"Saga, Volume 2",11.75,1239.62,3,True,Sequential Art
"Fruits Basket, Vol. 2",11.64,1228.02,5,True,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned",18.51,1952.8,4,True,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act",36.52,3852.86,2,True,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes",54.12,5709.66,3,True,Sequential Art
The Complete Maus,10.64,1122.52,3,True,Sequential Art
"Skip Beat!, Vol. 01",42.12,4443.66,3,True,Sequential Art
"Saga, Volume 1",28.48,3004.64,1,True,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery  #1-5",46.96,4954.28,5,True,Sequential Art
"Paper Girls, Vol. 1",21.71,2290.41,4,True,Sequential Art
"Ouran High School Host Club, Vol. 1",29.87,3151.29,3,True,Sequential Art
"Ms. Marvel, Vol. 1: No Normal",39.39,4155.65,4,True,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon",45.24,4772.82,3,True,Sequential Art
"Giant Days, Vol. 1",56.76,5988.18,4,True,Sequential Art
"Fruits Basket, Vol. 1",40.28,4249.54,5,True,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers",34.65,3655.58,5,True,Sequential Art
"Ajin: Demi-Human, Volume 1",57.06,6019.83,4,True,Sequential Art
